"StichtagDatJahr","DatenstandCd","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","EigentuemerSSZPubl1Sort","EigentuemerSSZPubl1Cd","EigentuemerSSZPubl1Lang","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","AnzWhgStat"
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",6,"6","6-Zimmer und mehr",68
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",1,"1","1-Zimmer",191
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",2,"2","2-Zimmer",308
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",3,"3","3-Zimmer",609
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",4,"4","4-Zimmer",385
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",5,"5","5-Zimmer",106
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",6,"6","6-Zimmer und mehr",31
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","Natürliche Personen",1,"1","1-Zimmer",353
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","Natürliche Personen",2,"2","2-Zimmer",949
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","Natürliche Personen",3,"3","3-Zimmer",1336
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","Natürliche Personen",4,"4","4-Zimmer",680
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","Natürliche Personen",5,"5","5-Zimmer",223
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","Natürliche Personen",6,"6","6-Zimmer und mehr",209
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",1,"1","1-Zimmer",23
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",2,"2","2-Zimmer",82
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",3,"3","3-Zimmer",189
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",4,"4","4-Zimmer",158
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",5,"5","5-Zimmer",57
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",6,"6","6-Zimmer und mehr",50
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",1,"1","Öffentliche Hand",1,"1","1-Zimmer",81
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",1,"1","Öffentliche Hand",2,"2","2-Zimmer",45
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",1,"1","Öffentliche Hand",3,"3","3-Zimmer",41
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",1,"1","Öffentliche Hand",4,"4","4-Zimmer",56
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",1,"1","Öffentliche Hand",5,"5","5-Zimmer",42
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",1,"1","Öffentliche Hand",6,"6","6-Zimmer und mehr",8
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",1,"1","1-Zimmer",82
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",2,"2","2-Zimmer",148
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",3,"3","3-Zimmer",237
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",4,"4","4-Zimmer",311
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",5,"5","5-Zimmer",118
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",6,"6","6-Zimmer und mehr",14
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",1,"1","1-Zimmer",27
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",2,"2","2-Zimmer",24
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",3,"3","3-Zimmer",129
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",4,"4","4-Zimmer",150
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",5,"5","5-Zimmer",24
